rank_number	ratingtomatometer_number	title_link	title_link/_text
76	99	http://www.rottentomatoes.com/m/short_term_12_2013/	Short Term 12 (2013)
77	98	http://www.rottentomatoes.com/m/french_connection/	The French Connection (1971)
78	98	http://www.rottentomatoes.com/m/let_the_right_one_in/	Let the Right One In (2008)
79	100	http://www.rottentomatoes.com/m/playtime/	Playtime (Play Time) (1967)
80	98	http://www.rottentomatoes.com/m/city_lights/	City Lights (1931)
81	100	http://www.rottentomatoes.com/m/mary_poppins/	Mary Poppins (1964)
82	98	http://www.rottentomatoes.com/m/1059489-wild_bunch/	The Wild Bunch (1969)
83	98	http://www.rottentomatoes.com/m/mud_2012/	Mud (2013)
84	98	http://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers/	Invasion of the Body Snatchers (1956)
85	99	http://www.rottentomatoes.com/m/shaun_the_sheep_movie/	Shaun the Sheep Movie (2015)
86	98	http://www.rottentomatoes.com/m/discreet_charm_of_the_bourgeoisie/	The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972)
87	98	http://www.rottentomatoes.com/m/1000617-aliens/	Aliens (1986)
88	98	http://www.rottentomatoes.com/m/1001577-badlands/	Badlands (1974)
89	98	http://www.rottentomatoes.com/m/1194522-how_to_train_your_dragon/	How to Train Your Dragon (2010)
90	98	http://www.rottentomatoes.com/m/eyes_without_a_face_1962/	Eyes Without a Face (1962)
91	98	http://www.rottentomatoes.com/m/once_upon_a_time_in_the_west/	Once Upon a Time in the West (1968)
92	98	http://www.rottentomatoes.com/m/mean_streets/	Mean Streets (1973)
93	98	http://www.rottentomatoes.com/m/1013227-manchurian_candidate/	The Manchurian Candidate (1962)
94	99	http://www.rottentomatoes.com/m/gloria_2012/	Gloria (2014)
95	99	http://www.rottentomatoes.com/m/leviafan/	Leviathan (2014)
96	98	http://www.rottentomatoes.com/m/aguirre_the_wrath_of_god/	"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God) (1972)"
97	100	http://www.rottentomatoes.com/m/sweet_hereafter/	The Sweet Hereafter (1997)
98	98	http://www.rottentomatoes.com/m/8-12/	8 1/2 (1963)
99	99	http://www.rottentomatoes.com/m/a_separation_2011/	A Separation (2011)
100	98	http://www.rottentomatoes.com/m/conversation/	The Conversation (1974)
